SAl,SAz,DNI,DHI,GHI
11.31,126.22,58412,13211,34008
20.83,136.59,73380,15064,48935
28.52,149.22,81575,15299,57752
33.57,164.24,85196,14816,61507
35.23,180.87,85706,13252,58088
33.21,197.4,81957,11223,48293
27.85,212.2,69513,9012,32769
19.94,224.59,42397,5580,15536
10.27,234.77,12128,1864,3929
11.29,126.07,71502,9514,34332
20.84,136.44,81564,11928,49185
28.56,149.07,85724,13430,58643
33.64,164.09,84916,13855,60664
35.33,180.74,78755,14135,55230
33.33,197.31,72204,13188,45099
27.99,212.15,64796,10060,31407
20.09,224.57,42789,5944,15830
10.42,234.77,12929,2054,4330
11.28,125.92,77993,9316,36673
20.85,136.28,88249,11084,51954
28.6,148.9,92945,12013,61661
33.71,163.93,94082,12251,64811
35.44,180.61,92390,11824,60979
33.46,197.23,87289,10792,50558
28.13,212.1,76179,8974,34904
20.23,224.55,48909,5775,17481
10.56,234.78,14595,2019,4793
11.28,125.77,75826,9480,36014
20.87,136.12,85421,11588,51005
28.64,148.74,89713,12818,60638
33.79,163.78,91456,13124,64181
35.55,180.49,90496,12558,60716
33.59,197.15,86103,11250,50740
28.28,212.06,75952,9173,35325
20.39,224.55,49384,5843,17749
10.71,234.8,14918,2081,4929
11.28,125.61,79487,9422,37119
20.9,135.96,89915,11220,52789
28.7,148.57,94587,12150,62948
33.88,163.62,95900,12422,66308
35.67,180.36,94435,11993,62580
33.73,197.07,87188,11524,51818
28.43,212.03,67695,11057,34939
20.54,224.55,36441,8243,17319
10.87,234.82,9424,3178,5016
11.32,125.11,79260,9350,37224
21.01,135.44,89764,11118,53025
28.91,148.06,94511,12116,63368
34.19,163.16,95925,12422,66938
36.07,180,94561,12027,63368
34.2,196.85,89814,10998,53025
28.92,211.96,79310,9213,37224
21.04,224.58,51841,6069,19147
11.35,234.93,15759,2234,5508
11.35,124.93,76710,9316,36328
21.06,135.26,87239,11161,51870
28.99,147.88,92036,12159,62055
34.3,163,93400,12388,65599
36.22,179.89,91986,11959,62134
34.37,196.79,87264,10964,52001
29.1,211.94,76861,9179,36513
21.21,224.61,50094,6036,18847
11.52,234.98,15198,2261,5473
11.38,124.75,78831,9384,37172
21.12,135.08,89360,11230,53025
29.08,147.71,94031,12193,63420
34.43,162.84,95218,12422,66964
36.37,179.77,93627,12027,63368
34.54,196.73,88779,11031,53051
29.28,211.94,78326,9280,37357
21.39,224.64,51056,6137,19388
11.69,235.04,15428,2296,5697
11.42,124.57,73149,9754,35694
21.19,134.9,85699,11461,51765
29.18,147.53,91329,12433,62239
34.56,162.68,91860,13035,65599
36.53,179.66,89688,12827,61924
34.72,196.68,83653,12116,51739
29.47,211.94,72240,10640,36435
21.57,224.68,47260,6997,19070
11.86,235.11,14637,2515,5724
11.46,124.38,77871,9350,37286
21.26,134.71,88981,11161,53376
29.28,147.34,94107,12056,63761
34.7,162.52,95395,12285,67410
36.7,179.55,93905,11925,63919
34.91,196.63,89360,10998,54037
29.66,211.94,79386,9313,38478
21.76,224.72,52273,6240,20109
12.04,235.18,15989,2392,6021
11.63,123.79,37406,14466,28692
21.51,134.12,69495,14392,49063
29.63,146.78,84953,14484,61017
35.15,162.05,81095,16328,63709
37.25,179.23,72924,16572,58783
35.5,196.51,65919,13945,46445
30.26,212,61404,10673,32505
22.34,224.9,44396,6935,18613
12.59,235.43,14586,2673,6153
11.7,123.59,75659,9486,36832
21.61,133.92,87134,11298,53159
29.76,146.59,92744,12330,64424
35.32,161.89,94197,12673,68319
37.44,179.13,92897,12310,64766
35.71,196.48,88358,11334,54776
30.47,212.03,78260,9682,39202
22.54,224.97,51153,6633,20891
12.78,235.53,15479,2666,6452
11.77,123.38,76092,9998,37604
21.71,133.72,86981,12070,53822
29.9,146.4,91369,13345,64554
35.49,161.73,89238,15466,68892
37.64,179.03,79775,18435,64735
35.92,196.46,71072,18176,54055
30.68,212.07,60617,14528,37940
22.74,225.05,35823,9794,19764
12.97,235.63,9660,4044,6579
11.85,123.17,67216,11893,35748
21.82,133.51,80068,13670,52001
30.04,146.21,89208,13752,63683
35.67,161.57,93375,13186,68381
37.85,178.93,93807,12287,65790
36.15,196.44,90143,11108,56074
30.9,212.11,80402,9481,40400
22.95,225.14,53117,6635,21861
13.16,235.75,16218,2789,6915
11.94,122.96,62418,12407,35409
21.93,133.3,69268,15961,50368
30.19,146.01,73022,18150,59532
35.86,161.41,74001,18641,62847
38.06,178.84,71612,18140,59717
36.37,196.42,64272,17033,50165
31.12,212.16,50441,14036,34916
23.16,225.23,29512,10086,18442
13.35,235.87,8426,4576,5986
12.23,122.3,28373,15189,23419
22.32,132.66,32619,19616,34428
30.68,145.42,34471,22895,42237
36.45,160.94,36339,23608,45288
38.74,178.58,39019,22006,43554
37.08,196.41,43513,18251,38802
31.81,212.35,45870,13115,30691
23.81,225.55,30954,8323,17910
13.95,236.26,8692,3293,6254
12.34,122.08,49309,13466,33577
22.46,132.44,72719,14689,51622
30.85,145.22,84115,14994,62449
36.67,160.78,84906,16165,68284
38.98,178.5,82934,17057,67265
37.33,196.41,69886,17345,54933
32.05,212.43,52830,15740,37538
24.03,225.67,45198,10380,20631
14.15,236.41,32487,3941,7226
12.46,121.85,81851,9826,40930
22.6,132.22,91834,11605,57982
31.04,145.02,96506,12651,68978
36.88,160.62,97819,13028,72870
39.22,178.42,96632,12650,69746
37.58,196.42,93036,11670,59892
32.29,212.51,84609,9983,44017
24.25,225.8,68544,6990,24595
14.36,236.56,40877,3168,8477
12.58,121.62,77871,9826,39281
22.76,132,87264,11878,55466
31.22,144.81,88703,14462,65546
37.11,160.47,79400,19408,66954
39.47,178.34,58710,24956,59342
37.84,196.44,45732,26094,47954
32.54,212.6,49204,19354,37332
24.48,225.93,42888,10652,22307
14.56,236.72,21905,4595,7241
12.7,121.39,71324,11678,38174
22.91,131.77,78974,15262,55033
31.42,144.61,81218,17884,66317
37.34,160.31,78846,20964,69383
39.73,178.27,64617,25380,62687
38.1,196.46,39520,26885,47079
32.79,212.7,15053,21424,28278
24.71,226.07,2551,12363,13466
14.77,236.89,104,4773,4842
13.12,120.67,85176,9860,43023
23.42,131.09,94637,11650,60349
32.04,143.99,99056,12662,71873
38.06,159.85,100243,12959,76204
40.53,178.07,98980,12661,73028
38.91,196.57,94991,11716,62738
33.55,213.03,86532,10050,46612
25.4,226.54,70675,7228,26815
15.39,237.43,42311,3441,9671
13.27,120.43,49440,19608,36958
23.6,130.85,47612,27795,50205
32.25,143.78,47483,32147,59290
38.32,159.69,51861,32235,64240
40.81,178.01,61053,28390,64024
39.19,196.61,74378,19996,57308
33.81,213.15,81103,11650,44968
25.64,226.71,69488,7209,26815
